Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,"Last Trade"
"13,800.00",+6.71%,"1,090.10","1,102.75","1,115.40",0.00,0.00,unch,0,0,0.00,26.98%,Call,N/A
"13,900.00",+6.03%,"1,005.80","1,018.25","1,030.70",0.00,0.00,unch,0,0,0.00,26.49%,Call,N/A
"14,000.00",+5.35%,923.10,935.40,947.70,0.00,0.00,unch,0,0,0.00,25.98%,Call,N/A
"14,100.00",+4.68%,842.40,854.60,866.80,0.00,0.00,unch,0,0,0.00,25.47%,Call,N/A
"14,200.00",+4.00%,763.60,775.60,787.60,0.00,0.00,unch,0,0,0.00,24.92%,Call,N/A
"14,300.00",+3.33%,687.40,699.25,711.10,0.00,0.00,unch,0,0,0.00,24.38%,Call,N/A
"14,400.00",+2.65%,617.20,624.65,632.10,738.10,28.10,+3.96%,1,0,0.00,23.77%,Call,09/29/21
"14,500.00",+1.97%,545.90,552.80,559.70,445.00,445.00,unch,1,0,0.00,23.14%,Call,10/01/21
"14,600.00",+1.30%,477.50,484.05,490.60,0.00,0.00,unch,0,0,0.00,22.51%,Call,N/A
"14,700.00",+0.62%,412.30,418.40,424.50,0.00,0.00,unch,0,0,0.00,21.84%,Call,N/A
"14,800.00",-0.05%,352.40,354.55,356.70,390.10,-19.90,-4.85%,9,0,0.00,21.05%,Call,09/30/21
"14,900.00",-0.73%,294.30,296.15,298.00,327.05,327.05,unch,1,0,0.00,20.32%,Call,09/30/21
"15,000.00",-1.41%,240.70,242.45,244.20,349.40,349.40,unch,1,0,0.00,19.59%,Call,09/28/21
"15,100.00",-2.08%,192.40,194.30,196.20,0.00,0.00,unch,0,0,0.00,18.88%,Call,N/A
"15,200.00",-2.76%,150.00,151.80,153.60,0.00,0.00,unch,0,0,0.00,18.19%,Call,N/A
"15,300.00",-3.44%,113.50,115.20,116.90,0.00,0.00,unch,0,0,0.00,17.51%,Call,N/A
"15,400.00",-4.11%,83.80,85.40,87.00,0.00,0.00,unch,0,0,0.00,16.92%,Call,N/A
"15,500.00",-4.79%,60.40,61.85,63.30,0.00,0.00,unch,0,0,0.00,16.42%,Call,N/A
"15,600.00",-5.46%,42.80,44.15,45.50,62.90,62.90,unch,10,0,0.00,16.02%,Call,09/28/21
"15,700.00",-6.14%,30.00,31.25,32.50,26.43,-5.79,-17.97%,1,0,0.00,15.74%,Call,10/01/21
"13,800.00",-6.71%,123.30,125.00,126.70,124.00,124.00,unch,1,0,0.00,27.55%,Put,10/01/21
"13,900.00",-6.03%,138.20,139.95,141.70,0.00,0.00,unch,0,0,0.00,27.06%,Put,N/A
"14,000.00",-5.35%,155.20,157.00,158.80,0.00,0.00,unch,0,0,0.00,26.51%,Put,N/A
"14,100.00",-4.68%,174.10,175.95,177.80,175.45,175.45,unch,2,0,0.00,25.91%,Put,10/01/21
"14,200.00",-4.00%,195.00,196.95,198.90,0.00,0.00,unch,0,0,0.00,25.37%,Put,N/A
"14,300.00",-3.33%,218.50,220.25,222.00,0.00,0.00,unch,0,0,0.00,24.78%,Put,N/A
"14,400.00",-2.65%,244.00,245.80,247.60,245.90,245.90,unch,1,0,0.00,24.18%,Put,10/01/21
"14,500.00",-1.97%,271.70,273.75,275.80,0.00,0.00,unch,0,0,0.00,23.52%,Put,N/A
"14,600.00",-1.30%,303.00,304.85,306.70,0.00,0.00,unch,0,0,0.00,22.87%,Put,N/A
"14,700.00",-0.62%,337.00,338.95,340.90,351.50,351.50,unch,4,0,0.00,22.18%,Put,09/30/21
"14,800.00",+0.05%,371.40,378.35,385.30,0.00,0.00,unch,0,0,0.00,21.57%,Put,N/A
"14,900.00",+0.73%,412.50,420.00,427.50,463.10,10.90,+2.41%,2,0,0.00,20.85%,Put,10/01/21
"15,000.00",+1.41%,454.20,464.20,474.20,429.10,429.10,unch,2,0,0.00,20.00%,Put,09/29/21
"15,100.00",+2.08%,505.30,516.40,527.50,0.00,0.00,unch,0,0,0.00,19.33%,Put,N/A
"15,200.00",+2.76%,562.00,573.35,584.70,0.00,0.00,unch,0,0,0.00,18.63%,Put,N/A
"15,300.00",+3.44%,625.00,637.85,650.70,0.00,0.00,unch,0,0,0.00,18.07%,Put,N/A
"15,400.00",+4.11%,694.80,708.00,721.20,0.00,0.00,unch,0,0,0.00,17.54%,Put,N/A
"15,500.00",+4.79%,770.80,784.35,797.90,0.00,0.00,unch,0,0,0.00,17.12%,Put,N/A
"15,600.00",+5.46%,853.10,867.00,880.90,0.00,0.00,unch,0,0,0.00,16.88%,Put,N/A
"15,700.00",+6.14%,939.70,953.70,967.70,0.00,0.00,unch,0,0,0.00,16.72%,Put,N/A
"Downloaded from Barchart.com as of 10-02-2021 07:02am CDT"
