Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,Vol/OI,IV,Type,Last Trade
131,+6.60%,11.45,11.5,11.55,13.75,13.75,unch,1,0,0,33.51%,Call,09/30/21
132,+5.88%,10.65,10.7,10.75,12.39,12.39,unch,1,0,0,32.93%,Call,09/30/21
133,+5.17%,9.85,9.9,9.95,0,0,unch,0,0,0,32.22%,Call,N/A
134,+4.46%,9.1,9.15,9.2,9.3,-1.2,-11.43%,1,13,0.08,31.73%,Call,10:08 ET
135,+3.74%,8.35,8.43,8.5,8.17,-1.33,-14.00%,12,102,0.12,31.25%,Call,10:22 ET
136,+3.03%,7.65,7.7,7.75,7.37,-1.51,-17.00%,5,251,0.02,30.63%,Call,10:52 ET
137,+2.32%,7,7.05,7.1,6.85,-2.43,-26.19%,4,4,1,30.32%,Call,11:48 ET
138,+1.60%,6.35,6.4,6.45,6.2,-1.3,-17.33%,3,29,0.1,29.84%,Call,10:22 ET
139,+0.89%,5.7,5.75,5.8,5.35,-1.45,-21.32%,26,2,13,29.19%,Call,10:45 ET
140,+0.18%,5.15,5.2,5.25,5.2,-1.05,-16.80%,241,73,3.3,28.96%,Call,12:29 ET
141,-0.53%,4.6,4.65,4.7,4.65,-1.15,-19.83%,83,61,1.36,28.54%,Call,12:30 ET
142,-1.25%,4.1,4.13,4.15,4.1,-0.9,-18.00%,175,591,0.3,27.94%,Call,12:21 ET
143,-1.96%,3.6,3.65,3.7,3.65,-0.85,-18.89%,100,303,0.33,27.73%,Call,12:28 ET
144,-2.67%,3.15,3.2,3.25,3.14,-1.46,-31.74%,72,339,0.21,27.33%,Call,12:19 ET
145,-3.39%,2.79,2.82,2.85,2.85,-0.73,-20.39%,521,634,0.82,27.33%,Call,12:23 ET
146,-4.10%,2.43,2.45,2.47,2.45,-0.79,-24.38%,73,273,0.27,26.83%,Call,12:26 ET
147,-4.81%,2.11,2.13,2.15,2.09,-0.82,-28.18%,1097,350,3.13,26.63%,Call,12:06 ET
148,-5.53%,1.83,1.85,1.86,1.78,-1.02,-36.43%,2159,1400,1.54,26.46%,Call,12:17 ET
149,-6.24%,1.57,1.59,1.61,1.62,-0.63,-28.00%,270,139,1.94,26.30%,Call,12:23 ET
150,-6.95%,1.35,1.37,1.39,1.33,-0.55,-29.26%,835,1382,0.6,26.20%,Call,12:19 ET
131,-6.60%,2.02,2.05,2.07,2.07,0.22,+11.89%,50,0,0,33.06%,Put,12:20 ET
132,-5.88%,2.22,2.24,2.25,2.29,0.08,+3.62%,50,0,0,32.25%,Put,12:14 ET
133,-5.17%,2.44,2.46,2.48,2.56,0.28,+12.28%,37,0,0,31.74%,Put,12:03 ET
134,-4.46%,2.69,2.72,2.74,2.87,0.18,+6.69%,25,150,0.17,31.29%,Put,11:25 ET
135,-3.74%,2.96,2.98,3,3.11,0.17,+5.78%,124,296,0.42,30.76%,Put,12:19 ET
136,-3.03%,3.25,3.28,3.3,3.35,0.51,+17.96%,85,184,0.46,30.28%,Put,12:15 ET
137,-2.32%,3.55,3.6,3.65,3.83,0.28,+7.89%,19,228,0.08,29.82%,Put,11:20 ET
138,-1.60%,3.9,3.95,4,4.06,0.16,+4.10%,72,132,0.55,29.34%,Put,12:20 ET
139,-0.89%,4.3,4.35,4.4,4.65,0.45,+10.71%,18,232,0.08,29.00%,Put,11:30 ET
140,-0.18%,4.75,4.8,4.85,4.77,0.09,+1.92%,100,326,0.31,28.59%,Put,12:23 ET
141,+0.53%,5.2,5.25,5.3,5.45,0.45,+9.00%,71,415,0.17,28.35%,Put,11:16 ET
142,+1.25%,5.7,5.73,5.75,5.91,0.41,+7.45%,42,1167,0.04,27.89%,Put,11:52 ET
143,+1.96%,6.2,6.25,6.3,6.46,1.1,+20.52%,12,328,0.04,27.53%,Put,12:19 ET
144,+2.67%,6.8,6.85,6.9,7.32,1.02,+16.19%,1,234,0,27.42%,Put,11:04 ET
145,+3.39%,7.4,7.45,7.5,7.6,1.28,+20.25%,39,1141,0.03,27.11%,Put,11:58 ET
146,+4.10%,8,8.1,8.2,8.22,0.84,+11.38%,5,215,0.02,26.92%,Put,11:59 ET
147,+4.81%,8.7,8.77,8.85,9.18,1.13,+14.04%,13,211,0.06,26.68%,Put,11:31 ET
148,+5.53%,9.4,9.5,9.6,9.79,1.86,+23.46%,1,80,0.01,26.58%,Put,11:52 ET
149,+6.24%,10.15,10.25,10.35,11.01,1.56,+16.51%,2,40,0.05,26.47%,Put,10:55 ET
150,+6.95%,10.95,11.05,11.15,11.32,0.94,+9.06%,11,60,0.18,26.54%,Put,11:49 ET
